A,B,C,D,E,F,G,SpecificSE,Step_1__History_Max__ALLSE,Step_1__History_Max__MASS,Design Feasibility,Objective and Penalty
1,0.719781949,2.393628147,0.449238879,2.541805381,0.138466289,0.149486549,0.170810263,339282162.6,4.50336,1.32732E-08,9,-339282162.6
2,0.542128033,1.761113667,0.31252456,2.218745174,0.215058527,0.276831143,0.158605474,392649841.1,9.65043,2.45777E-08,9,-392649841.1
3,1.243611032,1.772771802,0.076062434,2.462492444,0.19152666,0.129356496,0.132083497,383693013.8,7.54022,1.96517E-08,7,-383693013.8
4,1.051441661,2.533371701,0.101740787,3.740996254,0.236368707,0.279108466,0.236784835,353354979.2,9.54433,2.70106E-08,7,-353354979.2
5,0.425546759,2.285714558,0.132488299,3.513934595,0.170608249,0.110425726,0.151515209,337543381.7,5.2034,1.54155E-08,7,-337543381.7
6,0.217532795,2.711056151,0.360053363,3.943349601,0.13172266,0.122381648,0.218155105,290085068.9,4.15338,1.43178E-08,7,-290085068.9
7,0.682447159,1.558370089,0.258083296,3.115793022,0.172397682,0.287920386,0.283003252,365445564.1,10.5275,2.88073E-08,7,-365445564.1
8,1.252051913,2.664666798,0.20265332,4.009739459,0.225780184,0.245139137,0.296492145,352260516.3,8.87073,2.51823E-08,7,-352260516.3
9,1.110395033,2.30380008,0.222547975,2.701308204,0.164197965,0.255461126,0.109462695,352988722.6,6.58564,1.86568E-08,7,-352988722.6
10,1.492023582,2.750050459,0.49103672,3.445147505,0.261820399,0.261794088,0.181191598,350129054.6,9.21074,2.63067E-08,7,-350129054.6
11,0.603818956,2.605704714,0.163351893,4.105839198,0.265985901,0.15317337,0.119202848,353617190.6,6.92973,1.95967E-08,7,-353617190.6
12,0.778689138,2.232876594,0.090637586,2.131458284,0.253574275,0.223265622,0.212821907,363558877.5,8.38574,2.30657E-08,7,-363558877.5
13,0.274022158,2.820844257,0.06339272,2.935481107,0.283107654,0.106825113,0.100830897,336906018.5,7.08574,2.10318E-08,7,-336906018.5
14,1.431316822,1.860856042,0.37985371,3.236722669,0.288126694,0.116728138,0.22255278,378501551.6,9.75777,2.578E-08,7,-378501551.6
15,0.379339326,2.872967074,0.149427315,3.547626815,0.108262883,0.183165089,0.126645187,279590532,3.54244,1.26701E-08,7,-279590532
16,0.111303017,1.674440564,0.428076641,2.332196175,0.245814711,0.19514804,0.248874725,393936547.9,10.486,2.66185E-08,9,-393936547.9
17,1.005686667,2.937666867,0.413025183,2.833186378,0.118115585,0.208994226,0.136599661,302550638.5,2.90625,9.60583E-09,7,-302550638.5
18,0.556909052,2.186013415,0.272737313,2.557702961,0.206312631,0.299296998,0.205962101,364337930.5,8.26333,2.26804E-08,7,-364337930.5
19,1.320132919,1.912763287,0.35308583,2.895452698,0.232862357,0.200907138,0.143858633,387570914.7,9.93321,2.56294E-08,7,-387570914.7
20,0.987706553,2.952148908,0.2986157,3.219183981,0.10365987,0.215860244,0.233730193,293846986.6,3.41985,1.16382E-08,7,-293846986.6
21,1.399871924,1.940619195,0.455256528,3.856754903,0.122651166,0.136993139,0.26885739,327603957.1,6.35152,1.93878E-08,7,-327603957.1
22,1.167991772,2.096307371,0.331690944,3.671532077,0.194202589,0.174149096,0.186581315,360843066.6,8.14679,2.25771E-08,7,-360843066.6
23,0.191950485,1.612560873,0.474560932,2.262235775,0.14666621,0.188001421,0.196779537,373000587.2,6.98742,1.8733E-08,7,-373000587.2
24,0.893282279,2.491652339,0.192639304,4.172741355,0.179085139,0.162326308,0.286937525,344181301,6.59503,1.91615E-08,7,-344181301
25,0.804708492,2.008790298,0.288492707,3.803900727,0.214132969,0.234618709,0.276788628,366301864.4,10.3892,2.83624E-08,7,-366301864.4
26,0.313468653,2.059856464,0.228481201,2.629001102,0.152459103,0.170430895,0.255558327,352362273.3,5.86581,1.66471E-08,7,-352362273.3
27,0.909586732,2.425082425,0.400323961,3.051659583,0.294312112,0.239897402,0.172753136,367879959.6,10.1231,2.75174E-08,7,-367879959.6
28,0.480835699,1.522393697,0.129703616,3.330005762,0.274740368,0.270614388,0.258231238,414068589.8,13.8643,3.34831E-08,9,-414068589.8
29,0.480835699,1.522393697,0.405559605,3.330005762,0.274740368,0.270614388,0.258231238,406952585.9,14.2597,3.50402E-08,7,-406952585.9
30,1.419821964,1.940619195,0.179102705,3.856754903,0.122651166,0.136993139,0.26885739,348982299.6,6.02326,1.72595E-08,7,-348982299.6
31,0.900141589,2.491652339,0.192639304,2.386322872,0.178892074,0.163328081,0.286937525,336566023.3,5.28375,1.5699E-08,7,-336566023.3
32,0.121625061,1.674440564,0.455020799,4.087116064,0.246007736,0.194146267,0.248874725,388488553.6,11.5209,2.96557E-08,7,-388488553.6
33,1.308085254,1.912763287,0.352986352,3.914397338,0.137503876,0.200907138,0.143858633,325126040,8.13202,2.50119E-08,7,-325126040
34,0.231483022,2.711056151,0.36015284,2.924124561,0.227090573,0.122381648,0.218155105,333928718.2,6.0947,1.82515E-08,7,-333928718.2
35,0.192254293,1.61151182,0.474560932,2.262235775,0.148289049,0.183552514,0.196779537,374015831.9,7.0211,1.87722E-08,7,-374015831.9
36,0.556698571,2.186013415,0.272737313,2.557702961,0.204689832,0.298692358,0.205962101,363986680.6,8.20921,2.25536E-08,7,-363986680.6
37,1.447644057,2.976031841,0.2986157,3.239686389,0.10365987,0.215860244,0.229335633,295145087,3.52843,1.19549E-08,7,-295145087
38,0.969354707,1.904745329,0.37985371,3.216220261,0.288126694,0.116728138,0.22255278,373547944.7,9.53257,2.5519E-08,7,-373547944.7
39,0.416377988,2.923196939,0.149427315,3.475494358,0.117648641,0.212375499,0.135823387,283435806.6,3.80779,1.34344E-08,7,-283435806.6
40,0.968658922,2.939392385,0.413025183,2.827774392,0.108729832,0.179783817,0.127421461,299318579.9,2.60743,8.71122E-09,7,-299318579.9
41,1.243611032,1.772771802,0.080549759,4.182658313,0.195808613,0.160855391,0.122407634,398033501.3,8.98688,2.25782E-08,7,-398033501.3
42,0.939098233,2.491652339,0.188194132,2.359197481,0.178075018,0.130827423,0.293444335,337252905.6,5.26671,1.56165E-08,7,-337252905.6
43,0.761773631,2.232876594,0.090637586,2.187711129,0.244872778,0.224154943,0.230619636,361984079.9,8.10819,2.23993E-08,7,-361984079.9
44,0.497751212,1.522393697,0.129703616,3.347614845,0.274740368,0.24518154,0.254214382,414154178.9,13.1747,3.18111E-08,9,-414154178.9
45,1.103979498,2.059856464,0.228561347,2.626360753,0.152459103,0.170430895,0.255558327,364946120.9,6.17737,1.69268E-08,7,-364946120.9
46,0.320033694,2.30380008,0.22246783,2.703948554,0.164197965,0.255461126,0.109462695,341027046.9,6.21989,1.82387E-08,7,-341027046.9
47,1.485159534,1.860856042,0.381181223,3.236722669,0.289025069,0.227575779,0.22255278,400844003,12.5667,3.13506E-08,7,-400844003
48,0.909586732,2.425082425,0.392540529,3.051659583,0.282366058,0.123343638,0.172753136,359296900.7,8.63315,2.40279E-08,7,-359296900.7
49,0.804708492,2.028079665,0.301932324,3.803900727,0.214132969,0.234618709,0.276788628,364640064.9,10.3308,2.83315E-08,7,-364640064.9
50,1.051441661,2.524603305,0.084514779,3.740996254,0.237505797,0.280090025,0.236784835,354083643,9.61546,2.71559E-08,7,-354083643
51,1.32927024,2.373630162,0.361207245,2.525633211,0.232862357,0.200193601,0.146986079,353317054.4,7.63981,2.16231E-08,7,-353317054.4
52,0.710500772,1.932761432,0.441116808,2.911624907,0.138466289,0.149486549,0.159422387,349303388.4,6.14505,1.75923E-08,7,-349303388.4
53,0.365638959,2.877996092,0.149427315,2.839761141,0.108262883,0.202369336,0.126645187,305423776.4,2.76385,9.04923E-09,7,-305423776.4
54,1.02771859,2.93263784,0.413025183,3.541051954,0.118115585,0.182596997,0.136599661,285168148.4,4.1474,1.45437E-08,7,-285168148.4
55,0.425546759,2.288632268,0.132488299,3.208348725,0.170608249,0.111503936,0.140958353,338741175.2,5.27315,1.55669E-08,7,-338741175.2
56,0.987706553,2.945607575,0.2986157,3.524769851,0.10365987,0.215117109,0.233638655,272921662.4,3.84694,1.40954E-08,7,-272921662.4
57,0.480835699,1.663424185,0.092012573,2.254423388,0.243885748,0.270614388,0.258231238,402384261.9,10.7977,2.68343E-08,7,-402384261.9
58,0.761773631,2.232876594,0.403266193,3.268346939,0.271525586,0.224154943,0.251694998,367155661.3,10.1263,2.75804E-08,7,-367155661.3
59,1.105402903,2.232165773,0.132488299,3.513934595,0.170608249,0.110425726,0.147589619,349337821.8,5.51035,1.57737E-08,7,-349337821.8
60,0.430545145,2.303613873,0.222547975,2.701308204,0.164197965,0.255461126,0.111448946,343201113,6.26596,1.82574E-08,7,-343201113
61,1.208035786,1.772771802,0.057713334,2.827392444,0.191258067,0.129356496,0.132083497,382781568.9,7.47159,1.95192E-08,7,-382781568.9
62,1.004234125,2.939392385,0.446260661,2.462874441,0.109232841,0.179783817,0.127421461,302743818.1,2.58232,8.52972E-09,7,-302743818.1
63,0.916841444,2.673390564,0.185725697,2.359197481,0.178075018,0.130827423,0.256796356,328696005.4,4.85484,1.477E-08,7,-328696005.4
64,0.335768517,2.059856464,0.230949636,2.629001102,0.152459103,0.170430895,0.29358605,352830437.7,5.88126,1.66688E-08,7,-352830437.7
65,0.364802037,2.957265702,0.150056595,2.839761141,0.252798181,0.202369336,0.258542502,327553606.5,5.94536,1.81508E-08,7,-327553606.5
66,0.523493929,1.508063394,0.129074335,3.347614845,0.110785994,0.24518154,0.122496851,313019720.9,7.53307,2.40658E-08,7,-313019720.9
67,1.12583477,2.051128307,0.228561347,2.626360753,0.152459103,0.170430895,0.255558327,365671299,6.20983,1.6982E-08,7,-365671299
68,0.497751212,1.522393697,0.129703616,3.347614845,0.274740368,0.24518154,0.254214382,414154178.9,13.1747,3.18111E-08,8,-414154178.9
69,0.553352903,2.186013415,0.272737313,2.345962401,0.206312631,0.299296998,0.200922292,368145377.1,7.77431,2.11175E-08,7,-368145377.1
70,0.942654396,2.491652339,0.174396185,2.570938067,0.178075018,0.130827423,0.296426326,337918236.8,5.32647,1.57626E-08,7,-337918236.8
