idx,y_true,y_pred,abs_err,rel_err_%,A,B,C,D,E,F,G,Design Feasibility
208,250781651.3,398910200.0,148128556.7,59.06674429015532,1.280969991,1.662353882,0.095181397,4.07789606,0.240258944,0.133840252,0.242539012,7
168,254678513.5,347079970.0,92401454.5,36.28160586856888,1.114659403,2.184124522,0.446409437,2.459924473,0.105987393,0.17469268,0.129711335,7
370,369163728.2,353895800.0,15267920.199999988,4.1358126580974295,0.730801209,1.784294612,0.074199332,2.148340911,0.104686326,0.180358872,0.122213034,7
55,272921662.4,287518850.0,14597185.600000024,5.348489186104278,0.987706553,2.945607575,0.2986157,3.524769851,0.10365987,0.215117109,0.233638655,7
9,350129054.6,336545820.0,13583230.600000024,3.8794925532581104,1.492023582,2.750050459,0.49103672,3.445147505,0.261820399,0.261794088,0.181191598,7
194,338225833.2,347363420.0,9137590.800000012,2.7016241525811435,1.376161066,1.609128093,0.455430244,2.475215668,0.102699134,0.216630664,0.225479781,7
406,363936414.2,355170460.0,8765950.199999988,2.408648834788676,0.730910197,1.633120356,0.470369289,2.148340911,0.104686326,0.180574884,0.113628636,7
73,335756969.8,343201280.0,7444310.199999988,2.217172201796535,0.425546759,2.155989198,0.405658979,3.513934595,0.170608249,0.110425726,0.151515209,7
77,346142688.9,339411900.0,6730784.899999976,1.9445116467401362,1.485159534,2.901991886,0.381181223,3.236722669,0.277909467,0.212692839,0.22255278,7
329,378345832.0,372017440.0,6328392.0,1.6726474734892811,1.358655331,1.653530125,0.063837507,2.30859101,0.112469453,0.183936262,0.225076122,7
82,336073720.3,342102660.0,6028935.699999988,1.7939325022552166,0.968658922,2.928220455,0.413025183,2.827774392,0.286244924,0.179783817,0.127421461,7
411,358933504.8,353674460.0,5259040.800000012,1.4651852584590515,0.731278521,1.784294612,0.074199332,2.146894889,0.104686326,0.262051755,0.122213034,7
228,386560826.8,391746370.0,5185541.199999988,1.3414554296477896,0.849577384,1.764679261,0.089154813,3.941287902,0.199213485,0.133840252,0.228182737,7
231,369239047.3,364179600.0,5059463.300000012,1.370240589936657,1.147450136,2.038855467,0.243040423,2.467964061,0.152459103,0.184539211,0.264067441,7
78,294380812.3,289569470.0,4811340.300000012,1.6343933092680076,0.987706553,2.966367985,0.2986157,3.213860911,0.10365987,0.215860244,0.233730193,7
369,359315112.7,363822000.0,4506903.300000012,1.2543038521630243,1.198709387,1.779342285,0.440574528,2.559180148,0.103531351,0.104254693,0.157792803,7
368,341725697.1,346155070.0,4429374.899999976,1.296178466410092,1.24120579,2.266003151,0.05804612,2.157014432,0.151663185,0.160939074,0.259269181,7
33,333928718.2,329508740.0,4419982.199999988,1.323630451380563,0.231483022,2.711056151,0.36015284,2.924124561,0.227090573,0.122381648,0.218155105,7
192,354510046.9,350342340.0,4167710.899999976,1.17562560961089,0.505874306,1.68954747,0.443886993,2.187960716,0.118234603,0.270339841,0.258231238,7
57,367155661.3,371178270.0,4022610.699999988,1.0956145101391055,0.761773631,2.232876594,0.403266193,3.268346939,0.271525586,0.224154943,0.251694998,7
